127.0.0.1 - - [09/Sep/2023:11:46:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:46:37 +0530] "GET /ecommerce/ HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:46:37 +0530] "GET /ecommerce/images/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:46:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:46:40 +0530] "GET /ecommerce/PageController?page=Register HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:46:42 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:02 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:16 +0530] "GET /ecommerce/LoginController?usname=&passcode= HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:22 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:23 +0530] "GET /ecommerce/home.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:25 +0530] "GET /ecommerce/PageController?page=Login HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:28 +0530] "GET /ecommerce/LoginController?usname=Admin&passcode=Reset%40123 HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:34 +0530] "GET /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 200 2019
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:47:35 +0530] "POST /ecommerce/ProductController HTTP/1.1" 500 1204
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:33 +0530] "GET /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:34 +0530] "POST /ecommerce/ProductController HTTP/1.1" 500 1204
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:36 +0530] "GET /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [09/Sep/2023:13:40:47 +0530] "GET /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [09/Sep/2023:13:40:49 +0530] "POST /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [09/Sep/2023:13:41:06 +0530] "POST /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [09/Sep/2023:13:41:10 +0530] "GET /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [09/Sep/2023:13:41:12 +0530] "GET /ecommerce/AdminChoiceController?pid=&pname=&pdesc=&pqty=&price=&Add+Product=Submit HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [09/Sep/2023:23:10:35 +0530] "GET /ecommerce/AdminChoiceController?pid=&pname=&pdesc=&pqty=&price=&Add+Product=Submit HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [09/Sep/2023:23:12:31 +0530] "GET /ecommerce/AdminChoiceController?pid=&pname=&pdesc=&pqty=&price=&Add+Product=Submit HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [09/Sep/2023:23:12:36 +0530] "GET /ecommerce/AdminChoiceController?pid=&pname=&pdesc=&pqty=&price=&Add+Product=Submit HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [09/Sep/2023:23:13:09 +0530] "GET /ecommerce/AdminChoiceController?opr=ADD+PRODUCT HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [09/Sep/2023:23:13:11 +0530] "GET /ecommerce/AdminChoiceController?pid=&pname=&pdesc=&pqty=&price=&Add+Product=Submit HTTP/1.1" 500 1442
